userID,animeID,rating
393,84,9
393,1006,9
393,1530,5
393,2197,7
393,919,9
393,831,9
393,832,8
393,833,9
393,835,8
393,1008,8
393,5,9
393,9,6
393,1573,9
393,1466,8
393,1010,9
393,1467,8
393,160,10
393,1012,8
393,1539,9
393,2301,8
393,1457,7
393,1208,8
393,2483,9
393,955,9
393,921,7
393,76,9
393,1017,9
393,716,7
393,1018,9
393,922,9
393,1020,8
393,1033,8
393,1209,6
393,923,8
393,4,5
393,901,8
393,717,9
393,1546,9
393,116,7
393,931,9
393,55,10
393,1021,8
393,943,10
393,928,8
393,3,10
393,1022,8
393,1275,9
393,1581,9
393,1576,8
393,25,10
393,1580,8
393,1548,8
393,1023,9
393,1585,9
393,1754,5
393,20,8
393,110,8
393,2269,10
393,709,8
393,1256,10
393,118,8
393,934,9
393,595,7
393,586,8
393,404,9
393,2596,9
393,2353,8
393,39,9
393,3362,5
393,2062,7
393,594,6
393,555,8
393,1848,8
393,454,8
393,544,10
393,854,9
393,141,9
393,1564,10
393,270,8
393,563,7
393,500,7
393,809,7
393,800,9
393,518,8
393,1069,9
393,570,7
393,1470,10
393,1744,8
393,147,8
393,861,8
393,374,10
393,2464,8
393,2463,8
393,452,8
393,291,7
393,2069,7
393,491,9
393,1582,7
393,1460,10
393,848,6
393,1538,8
393,88,8
393,1095,9
393,1108,9
393,603,9
393,1796,8
393,2111,9
393,566,8
393,1534,8
393,2871,8
393,3429,9
393,151,9
393,143,9
393,1785,9
393,760,8
393,1965,8
393,681,10
393,2410,10
393,3871,7
393,1111,8
393,2291,9
393,1787,9
393,2481,9
393,2534,9
393,16,8
393,1120,9
393,2869,9
393,1121,9
393,427,8
393,986,9
393,2014,8
393,113,9
393,718,9
393,707,8
393,1271,10
393,672,7
393,1107,9
393,2494,9
393,1260,10
393,1750,9
393,3013,9
393,1948,8
393,2701,9
393,2359,9
393,1091,10
393,1579,9
393,1100,8
393,726,9
393,2498,9
393,1583,8
393,2501,9
393,1789,8
393,839,9
393,1542,9
393,521,9
393,944,10
393,2414,8
393,418,9
393,984,9
393,929,8
393,1775,8
393,1139,9
393,702,9
393,727,10
393,2196,9
393,2347,9
393,1767,9
393,1079,9
393,1770,9
393,2505,8
393,1788,8
393,1991,9
393,1782,10
393,3210,8
393,2647,9
393,2509,8
393,1088,8
393,121,10
393,2512,7
393,952,9
393,577,9
393,1769,8
393,1125,9
393,1080,8
393,2416,8
393,2517,8
393,1113,8
393,2518,9
393,974,7
393,1792,9
393,1806,10
393,2868,8
393,842,9
393,2724,9
393,2520,8
393,2521,9
393,1780,9
393,1709,9
393,3872,9
393,1109,9
393,2859,8
393,1124,9
393,1249,9
393,2142,9
393,526,9
393,1097,9
393,1085,9
393,1790,9
393,161,7
393,2068,8
393,1150,8
393,2595,7
393,1106,8
393,1946,8
393,1238,9
393,1586,8
393,2076,9
393,550,9
393,1945,8
393,1003,9
393,954,8
393,1587,10
393,1959,7
1065,19,10
1065,481,8
1065,226,8
1065,354,9
1065,732,7
1065,86,6
1065,603,5
1065,774,7
1065,570,6
1065,1415,9
1065,629,10
1065,1299,9
1065,1433,9
1065,1392,10
1065,2003,10
1065,1416,6
1065,1434,9
1065,1391,10
1065,1438,10
1065,823,5
1065,379,10
1065,12,10
1065,122,9
1065,45,10
1065,120,9
1065,64,7
1065,32,6
1065,731,8
1065,1,10
1065,521,9
1065,781,10
1065,1244,9
1065,793,9
1065,686,10
1065,917,10
1065,1530,10
1065,394,9
1065,486,9
1065,2831,6
1065,82,10
1065,1206,8
1065,1207,9
1065,33,10
1065,824,10
1065,7,8
1065,586,4
1065,23,10
1065,513,10
1065,1618,10
1065,583,6
1065,604,7
1065,336,8
1065,584,10
1065,6,9
1065,579,9
1065,1990,8
1065,1216,9
1065,2142,10
1065,71,8
1065,335,10
1065,559,10
1065,484,9
1065,108,7
1065,1003,8
1065,814,8
1065,1765,8
1065,235,5
1065,537,2
1065,1021,2
1065,717,8
1065,1682,2
1065,920,2
1065,1010,2
1065,54,8
1065,1212,5
1065,429,3
1065,223,8
1065,5,2
1065,400,8
1065,432,4
1065,295,10
1065,1280,10
1065,1020,6
1065,3248,10
1065,305,4
1065,1012,2
1065,3,2
1065,4018,6
1065,3745,7
1065,30,9
1065,806,8
1065,277,9
1065,854,10
1065,569,5
1065,1740,8
